Portfolio Manager ID,Portfolio Manager Meter ID
5984875,31548254
5984875,49324439
5984875,49327760
5984875,49324969
5984875,49325200
5984875,97503345
5984875,31548250
5984875,31548249
5984875,31548251
5984875,49324175
5984875,49324216
5984875,49324348
5984875,49324390
5984875,81413017
5984875,49324753
5984875,49325021
5984875,49325117
5984875,49325377
5984875,49440466
5984875,49450360
5984875,49327857
5984875,31548252
5984875,92050612
5984875,49326153
5984875,49324572
