,Portfolio Manager Meter ID,Meter Consumption ID,,
0,31548254,1457394726,,
1,31548254,1457394727,,
2,31548254,1457394728,,
3,31548254,1457394729,,
4,31548254,1457394730,,
5,31548254,1457394731,,
6,31548254,1457394732,,
7,31548254,1457394733,,
8,31548254,1457394734,,
9,31548254,1457394735,,
10,31548254,1457394736,,
11,31548254,1457394737,,
12,31548254,1457394738,,
13,31548254,1457394739,,
14,31548254,1457394740,,
15,31548254,1457394741,,
16,31548254,1457394742,,
17,31548254,1457394743,,
18,31548254,1457394745,,
19,31548254,1457394746,,
20,31548254,1457394747,,
21,31548254,1457394748,,
22,31548254,1457394749,,
23,31548254,1457394750,,
24,31548254,1457394751,,
25,31548254,1457394752,,
26,31548254,1457394753,,
27,31548254,1457394754,,
28,31548254,1457394755,,
29,31548254,1457394756,,
30,31548254,1457394757,,
31,31548254,1457394758,,
32,31548254,1457394759,,
33,31548254,1457394760,,
34,31548254,1457394761,,
35,31548254,1457394762,,
36,31548254,1457394763,,
37,31548254,1457394764,,
38,31548254,1457394765,,
39,31548254,1457394766,,
40,31548254,1457394767,,
41,31548254,1457394768,,
42,31548254,1457394769,,
43,31548254,1457394770,,
44,31548254,1457394771,,
45,31548254,1457394772,,
46,31548254,1457394773,,
47,31548254,1457394774,,
48,31548254,1457394775,,
49,31548254,1457394776,,
50,31548254,1457394777,,
51,31548254,1457394778,,
52,31548254,1457394779,,
53,31548254,1457394780,,
54,31548254,1457394781,,
55,31548254,1457394782,,
56,31548254,1457394783,,
57,31548254,1457394784,,
58,31548254,1457394785,,
59,31548254,1457394786,,
60,31548254,1703761301,,
61,31548254,1703761302,,
62,31548254,1703761303,,
63,31548254,1703761304,,
64,31548254,1703761305,,
65,31548254,1703761306,,
66,31548254,1703761307,,
67,31548254,1703761308,,
68,31548254,1703761309,,
69,31548254,1703761310,,
70,31548254,1703761311,,
71,31548254,1703761312,,
72,31548254,4246867058,,
73,31548254,2418852197,,
74,31548254,4246878436,,
75,31548254,2418935783,,
76,31548254,4246892208,,
77,31548254,2418935784,,
78,31548254,2418935785,,
79,31548254,2418935929,,
80,31548254,2418936095,,
81,31548254,2418852198,,
82,31548254,2418852199,,
83,31548254,2418852200,,
84,31548254,2418852201,,
85,31548254,2418852202,,
86,31548254,2418852203,,
87,31548254,2418852204,,
88,31548254,2418852205,,
89,31548254,2418852206,,
90,31548254,2418852207,,
91,31548254,2418852208,,
92,31548254,2418852209,,
93,31548254,2418852210,,
94,31548254,2418858292,,
95,31548254,2418858802,,
96,31548254,2418858291,,
97,31548254,2418860604,,
98,31548254,2465836782,,
99,31548254,2465840066,,
100,31548254,2467085387,,
101,31548254,2547720630,,
