,Portfolio Manager Meter ID,Meter Name,Meter Type,
166,49324439,EL2,Electric - Grid,
167,49324439,EL2,Electric - Grid,
168,49324439,EL2,Electric - Grid,
169,49324439,EL2,Electric - Grid,
170,49324439,EL2,Electric - Grid,
171,49324439,EL2,Electric - Grid,
172,49324439,EL2,Electric - Grid,
173,49327760,EL3,Electric - Grid,
174,49327760,EL3,Electric - Grid,
175,49327760,EL3,Electric - Grid,
176,49327760,EL3,Electric - Grid,
177,49327760,EL3,Electric - Grid,
178,49327760,EL3,Electric - Grid,
179,49327760,EL3,Electric - Grid,
180,49327760,EL3,Electric - Grid,
181,49327760,EL3,Electric - Grid,
182,49327760,EL3,Electric - Grid,
183,49327760,EL3,Electric - Grid,
184,49327760,EL3,Electric - Grid,
185,49327760,EL3,Electric - Grid,
186,49327760,EL3,Electric - Grid,
187,49327760,EL3,Electric - Grid,
188,49327760,EL3,Electric - Grid,
189,49327760,EL3,Electric - Grid,
190,49327760,EL3,Electric - Grid,
191,49327760,EL3,Electric - Grid,
192,49327760,EL3,Electric - Grid,
193,49327760,EL3,Electric - Grid,
194,49327760,EL3,Electric - Grid,
195,49327760,EL3,Electric - Grid,
196,49327760,EL3,Electric - Grid,
197,49327760,EL3,Electric - Grid,
198,49327760,EL3,Electric - Grid,
199,49327760,EL3,Electric - Grid,
200,49327760,EL3,Electric - Grid,
201,49327760,EL3,Electric - Grid,
202,49327760,EL3,Electric - Grid,
203,49327760,EL3,Electric - Grid,
204,49327760,EL3,Electric - Grid,
205,49327760,EL3,Electric - Grid,
206,49327760,EL3,Electric - Grid,
207,49327760,EL3,Electric - Grid,
208,49327760,EL3,Electric - Grid,
209,49327760,EL3,Electric - Grid,
210,49327760,EL3,Electric - Grid,
211,49327760,EL3,Electric - Grid,
212,49327760,EL3,Electric - Grid,
213,49327760,EL3,Electric - Grid,
214,49327760,EL3,Electric - Grid,
215,49327760,EL3,Electric - Grid,
216,49327760,EL3,Electric - Grid,
217,49327760,EL3,Electric - Grid,
218,49327760,EL3,Electric - Grid,
219,49327760,EL3,Electric - Grid,
220,49327760,EL3,Electric - Grid,
221,49324969,EL4,Electric - Grid,
222,49324969,EL4,Electric - Grid,
223,49324969,EL4,Electric - Grid,
224,49324969,EL4,Electric - Grid,
225,49324969,EL4,Electric - Grid,
226,49324969,EL4,Electric - Grid,
227,49324969,EL4,Electric - Grid,
228,49324969,EL4,Electric - Grid,
229,49324969,EL4,Electric - Grid,
230,49324969,EL4,Electric - Grid,
231,49324969,EL4,Electric - Grid,
232,49324969,EL4,Electric - Grid,
233,49324969,EL4,Electric - Grid,
234,49324969,EL4,Electric - Grid,
235,49324969,EL4,Electric - Grid,
236,49324969,EL4,Electric - Grid,
237,49324969,EL4,Electric - Grid,
238,49324969,EL4,Electric - Grid,
239,49324969,EL4,Electric - Grid,
240,49324969,EL4,Electric - Grid,
241,49324969,EL4,Electric - Grid,
242,49324969,EL4,Electric - Grid,
243,49324969,EL4,Electric - Grid,
244,49324969,EL4,Electric - Grid,
245,49324969,EL4,Electric - Grid,
246,49324969,EL4,Electric - Grid,
247,49324969,EL4,Electric - Grid,
248,49324969,EL4,Electric - Grid,
249,49324969,EL4,Electric - Grid,
250,49324969,EL4,Electric - Grid,
251,49324969,EL4,Electric - Grid,
252,49324969,EL4,Electric - Grid,
253,49324969,EL4,Electric - Grid,
254,49324969,EL4,Electric - Grid,
255,49324969,EL4,Electric - Grid,
256,49324969,EL4,Electric - Grid,
257,49324969,EL4,Electric - Grid,
258,49324969,EL4,Electric - Grid,
259,49324969,EL4,Electric - Grid,
260,49324969,EL4,Electric - Grid,
261,49324969,EL4,Electric - Grid,
262,49324969,EL4,Electric - Grid,
263,49324969,EL4,Electric - Grid,
264,49324969,EL4,Electric - Grid,
265,49324969,EL4,Electric - Grid,
266,49324969,EL4,Electric - Grid,
267,49324969,EL4,Electric - Grid,
268,49324969,EL4,Electric - Grid,
269,49324969,EL4,Electric - Grid,
270,49324969,EL4,Electric - Grid,
271,49325200,EL5,Electric - Grid,
272,49325200,EL5,Electric - Grid,
273,49325200,EL5,Electric - Grid,
274,49325200,EL5,Electric - Grid,
